Surah Number,Ayah Number,URL to Recording,Age,Country,Gender,Qiraah,Recitation Mode,Timestamp of Recording Submission,Has This Recording Been Evaluated?
33,59,www.tarteel.io/media/33_59_1826331136.wav,-1,N/A,N/A,N/A,continuous,2018-12-18 20:57:20.089677+00:00,False
54,22,www.tarteel.io/media/54_22_3447156486.wav,-1,N/A,N/A,N/A,continuous,2018-12-07 17:23:26.800519+00:00,False
55,57,www.tarteel.io/media/55_57_2810943791.wav,-1,N/A,N/A,N/A,continuous,2018-12-26 19:22:41.261082+00:00,False
100,11,www.tarteel.io/media/100_11_4223972757.wav,-1,N/A,N/A,N/A,,2018-08-31 01:29:23.230581+00:00,False
56,24,www.tarteel.io/media/56_24_351464459.wav,-1,N/A,N/A,N/A,continuous,2018-12-10 17:03:45.459796+00:00,False
6,9,www.tarteel.io/media/6_9_3422950022.wav,-1,N/A,N/A,N/A,continuous,2018-12-28 23:00:13.884201+00:00,False
6,145,www.tarteel.io/media/6_145_1587373028.wav,-1,N/A,N/A,N/A,continuous,2018-12-29 00:09:49.150732+00:00,False
26,139,www.tarteel.io/media/26_139_3243912264.wav,-1,N/A,N/A,N/A,continuous,2018-12-10 16:01:42.439197+00:00,False
51,4,www.tarteel.io/media/51_4_2387336434.wav,-1,N/A,N/A,N/A,,2018-09-04 03:22:29.914176+00:00,False
56,68,www.tarteel.io/media/56_68_1739942756.wav,-1,N/A,N/A,N/A,,2018-09-03 06:28:30.253228+00:00,False
79,13,www.tarteel.io/media/79_13_1299201799.wav,-1,N/A,N/A,N/A,continuous,2018-11-26 02:45:21.183592+00:00,False
7,114,www.tarteel.io/media/7_114_1985259213.wav,-1,N/A,N/A,N/A,continuous,2018-12-26 12:22:02.007388+00:00,False
90,6,www.tarteel.io/media/90_6_3328340486.wav,-1,N/A,N/A,N/A,continuous,2018-12-05 19:17:47.811009+00:00,False
18,68,www.tarteel.io/media/18_68_2416568439.wav,-1,N/A,N/A,N/A,continuous,2018-10-07 19:36:07.377216+00:00,False
2,46,www.tarteel.io/media/2_46_3172937832.wav,-1,N/A,N/A,N/A,,2018-08-27 18:27:39.285010+00:00,False
